submission_date,reviewer_id,reviewer_name,reviewer_email,product_id,product_name,product_brand,site_category_lv1,site_category_lv2,review_title,overall_rating,recommend_to_a_friend,review_text,reviewer_birth_year,reviewer_gender,reviewer_state
2018-01-01 00:11:28,d0fb1ca69422530334178f5c8624aa7a99da47907c44de0243719b15d50623ce,Ana Clara Mendes,anaclara.mendes@email.com,132532965,"Notebook Asus Vivobook Max X541NA-GO472T Intel Celeron Quad Core 4GB 500GB Tela LED 15,6"" Windows - 10 Branco",,Informática,Notebook,Bom,4,Yes,Estou contente com a compra entrega rápida o único problema com o Mercado Ágil é se houver troca ou devolução do produto o consumidor tem problemas com espera.,1958.0,F,RJ
2018-01-01 01:00:28,7d7b6b18dda804a897359276cef0ca252f9932bf4b5c8e72bce7e88850efa0fc,João Pedro Silva,joaopedro.silva@email.com,131788803,"Smart TV LED 43"" LG 43UJ6525 Ultra HD 4K com Conversor Digital 4 HDMI 2 USB WebOS 3.5 Painel Ips HDR e Magic Mobile Connection",lg,TV e Home Theater,TV,"Sem duvidas, excelente",5,Yes,"A entrega foi no prazo, o Mercado Ágil está de parabéns. A smart tv é muito boa, a navegação na internete e pelos aplicativos e excelente, não trava, sem falar da imagem que é de surpreender. recomendo.",1994.0,M,MG
2018-01-01 03:06:04,74cfe73e7489f0ed1f4d1f012efbc5a8e0958c3559b65d4630f59ab9fce9a17e,Mariana Oliveira,mariana.oliveira@email.com,126474851,Aspirador de Pó Philco Rapid 1000N Vermelho/Preto - 1000W,philco,Eletroportáteis,Aspirador e Vassoura Elétrica,Maravilhoso!!!,5,Yes,"Produto maravilhoso! Não é barulhento, fácil manuseio, tranquilo de montar e desmontar, entrega antes do prazo mesmo se tratando de época do Natal. Mercado Ágil de parabéns e o produto muito bom. Recomendo com força.",1967.0,F,RJ
2018-01-01 03:32:47,0caab33faedce9bfcb6fb0bd68b0ee8ce48860fa295d3f6f5699163e310fa3df,Ricardo Costa,ricardo.costa@email.com,29302228,Conjunto de Panelas Antiaderente Turim 10 Peças Vermelha Tramontina,,Utilidades Domésticas,Panelas,Amei o produto,5,No,"Jogo de panelas excelente material, entrega a tempo, design muito bom.",1985.0,M,GO
2018-01-01 03:59:57,b47d9ca2cafe181ebcdd6f7e085e4354e566bd0115fa21101037a120c205aad0,Fernanda Souza,fernanda.souza@email.com,24717741,Tênis Casual Conforto Beira Rio,,Moda,Feminino,satisfeito,5,Yes,"produto de acordo com o que eu esperava. Somente o prazo de entrega que ficou um pouco a desejar, um pouco longo",1961.0,M,SP
2018-01-01 04:11:35,bcbf1fc81b0cbc699349864ddf265e7433cea4d4851d2626d3c21f36417ec878,Lucas Pereira,lucas.pereira@email.com,132381802,"Smart TV LED 65"" Samsung 65MU6100 UHD 4K HDR Premium com Conversor Digital 3 HDMI 2 USB 120Hz",,TV e Home Theater,TV,muito bom,4,Yes,"nao tenho nada a reclamar, bom atendimento e entrega dentro do combinado.",1950.0,M,SP
2018-01-01 05:56:40,f6e54f02b2189cbbc0e4f32553a472fb7654921501fccbf22d1fd6702583ba5c,Bianca Santos,bianca.santos@email.com,9768970,"Piscina Retangular Mor Premium 5.000 Litros, Lona De Pvc",,Esporte e Lazer,Praia e Piscina,Gostei muito do produto e da rapidez com que foi entregue.,4,Yes,"Fiquei satisfeito com a segurança e garantia de toda transação, entretanto fiz outra compra no dia 29/11 e até hoje não foi entregue. O que diferencia uma compra da outra com relação a entrega?",1940.0,M,RJ
2018-01-01 06:01:22,faeebb5c84fde40dbe91285440668a468140ecf66da0139ea6b7c4ebae32ff11,Gabriel Almeida,gabriel.almeida@email.com,128906477,Conjunto  Potes de Vidro Multiuso 3 Peças Vermelho - Euro Home,euro home,Utilidades Domésticas,Utensílios e Acessórios Domésticos,Excelente,5,Yes,Adorei o produto. É bonito e prático. Recomendo. A entrega foi feita antes do prazo.,1982.0,F,MG
2018-01-01 06:06:44,6b9dacf3309fe5a40a56fcc5c4659026763e4462a3714fbea97278232e649add,Larissa Carvalho,larissa.carvalho@email.com,132444050,"Smartphone Motorola Moto G 5S Dual Chip Android 7.1.1 Nougat Tela 5.2"" Snapdragon 430 32GB 4G Câmera 16MP - Dourado",,Celulares e Smartphones,Smartphone,Excelente produto,5,Yes,"Aparelho de ótima qualidade e sem defeitos, entrega com pontualidade e qualidade !",1998.0,F,SP
2018-01-01 06:17:28,bd7509aee16e0b70f5054ca4dc972a32bdb74948516fb499924735f486845d65,Vinícius Martins,vinicius.martins@email.com,21007060,Boneca Brinquedo Para Maquiar Magic Top Model,,Brinquedos,Bonecas,Bom!,5,Yes,Minha neta está encantada com a boneca! E a entrega melhor ainda antes do prazo de entrega. Parabéns!,1964.0,F,RJ
